Date,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Open RUSSELL2000,High RUSSELL2000,Low RUSSELL2000,Close RUSSELL2000,Volume RUSSELL2000,Close Oil,Close Gold,Open Gold,High Gold,Low Gold,Change % Gold,OPEN_CLOSE_CHANGE_ABB_SP500,OPEN_CLOSE_CHANGE_ABB_RUSSELL2000,OPEN_CLOSE_CHANGE_ABB_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change
1990-11-30,303.98999,323.019989,301.609985,322.220001,3149770000.0,7.81,6.2,5.3,133.7,118.849998,127.519997,118.449997,127.510002,3148240000.0,31.2,382.25,383.85,387.35,376.5,-1.32,18.220061000000044,8.610008000000008,-65.10000000000008,-0.2999999999999998,0.0,0.2999999999999998,0.29999999999998295
1990-12-31,316.420013,333.980011,315.420013,330.220001,3309180000.0,7.31,6.3,5.2,134.2,126.110001,132.770004,125.760002,132.199997,3309060000.0,28.35,393.0,389.35,393.0,369.55,0.0,13.830017000000112,6.229942999999963,-57.5,-0.5,-0.09999999999999964,0.09999999999999964,0.5
1991-01-31,328.709991,343.929993,309.350006,343.929993,3774370000.0,6.91,6.4,5.6,134.7,130.440002,144.169998,124.519997,144.169998,3773230000.0,20.7,366.35,394.0,403.38,366.35,-0.43,15.250029999999981,13.759988000000021,-100.42999999999984,-0.39999999999999947,0.39999999999999947,0.10000000000000053,0.5
1991-02-28,343.910004,370.959991,340.369995,367.070007,4303170000.0,6.25,6.6,5.6,134.8,144.149994,160.009995,144.089996,160.0,4297640000.0,19.5,366.15,369.75,369.55,357.0,1.4,23.170012999999983,15.840043000000037,-48.44999999999993,-0.6600000000000001,0.0,0.1999999999999993,0.10000000000002274
1991-03-31,367.070007,379.660004,363.730011,375.220001,3927920000.0,6.12,6.8,5.2,134.8,160.0,171.009995,159.320007,171.009995,3926860000.0,18.0,356.55,368.45,369.0,355.25,0.37,8.15002400000003,10.999984999999953,-49.549999999999955,-0.1299999999999999,-0.39999999999999947,0.20000000000000018,0.0
1991-04-30,375.220001,391.26001,370.269989,375.339996,4017200000.0,5.91,6.7,5.1,135.1,171.020004,178.789993,169.710007,170.610001,4015890000.0,19.7,356.6,359.25,364.15,352.25,1.23,-0.010039999999946758,-0.41995000000000005,-35.099999999999966,-0.20999999999999996,-0.10000000000000053,-0.09999999999999964,0.29999999999998295
1991-05-31,375.350006,389.850006,365.829987,389.829987,3739700000.0,5.78,6.9,5.1,135.6,170.589996,178.339996,169.190002,178.339996,3747420000.0,19.0,361.5,358.55,363.25,353.85,-0.33,15.789976999999965,7.710022000000038,-35.020000000000095,-0.1299999999999999,0.0,0.20000000000000018,0.5
1991-06-30,386.959991,389.850006,367.980011,371.160004,3490770000.0,5.9,6.9,5.0,136.0,176.820007,178.940002,166.660004,167.610001,3474760000.0,18.48,368.25,363.25,372.95,361.5,0.61,-15.769987999999955,-9.270002999999974,-37.57000000000005,0.1200000000000001,-0.09999999999999964,0.0,0.4000000000000057
1991-07-31,371.179993,387.809998,370.920013,387.809998,3481570000.0,5.82,6.8,4.8,136.2,167.619995,172.970001,166.179993,172.759995,3466100000.0,19.65,363.95,370.45,370.6,363.75,0.05,16.629976000000113,5.130007000000006,-34.3900000000001,-0.08000000000000007,-0.20000000000000018,-0.10000000000000053,0.19999999999998863
1991-08-31,387.809998,396.820007,374.089996,395.429993,3713820000.0,5.66,6.9,4.6,136.6,172.759995,179.110001,166.490005,179.110001,3749110000.0,20.53,348.55,365.55,363.55,348.55,-0.83,7.500001000000111,6.360027999999971,-46.64999999999998,-0.16000000000000014,-0.20000000000000018,0.10000000000000053,0.4000000000000057
